Id,Age,Gender,Wt,Height,Race,Exposure to fake news [hours/day],Rxn lvl,Notes,Trust level [%],Soc.Med,Status
1,22,Non-Binary,74,185,Asian,1.5,9,Very Confused,104,Facebook,Error
2,57,Male,60,191,Other,13.9,0,Completely unaware,5,Twitter,Warning Issued
3,37,Male,90,198,Black,2.6,10,Occasional check,45,WhatsApp,Active
4,65,Non-Binary,70,150,White,2.6,3,Unknown,47,Instagram,Warning Issued
5,62,Male,95,179,Black,2.9,11,Needs Verification,9,Facebook,Pending Review
6,28,Female,93,173,Mixed,12.1,2,Some skepticism,101,Snapchat,Warning Issued
7,19,Male,118,185,Asian,11.8,2,Participates in spreading,67,Instagram,Pending Review
8,66,Male,116,200,Hispanic,9.4,4,Needs Verification,46,WeChat,Pending Review
9,54,Non-Binary,111,169,White,5.7,7,Needs Verification,-8,WeChat,Needs Verification
10,66,Non-Binary,67,191,White,11.8,6,Needs Verification,76,TikTok,Suspended
11,21,Non-Binary,94,190,Asian,9.5,6,Very Confused,-9,Facebook,Suspended
12,50,Male,94,183,White,4.1,8,Needs Verification,20,Snapchat,Warning Issued
13,50,Male,96,186,White,7.4,3,Very Confused,56,Instagram,Error
14,67,Male,57,189,White,6.7,1,Very Confused,22,Instagram,Active
15,59,Female,97,165,Black,12,2,Values nothing,93,TikTok,Inactive
16,33,Non-Binary,71,164,Hispanic,6.2,10,Completely unaware,68,Instagram,Inactive
17,66,Male,111,170,Black,9.9,10,More fake news than reality,59,WeChat,Pending Review
18,42,Non-Binary,53,151,White,9,1,Participates in spreading,23,TikTok,Inactive
19,30,Non-Binary,75,181,White,2.4,9,Very Confused,102,Snapchat,Error
20,40,Female,118,188,Mixed,5.6,5,Fully converted,69,Facebook,Warning Issued
21,70,Non-Binary,87,169,White,13.9,5,More fake news than reality,83,Unknown,Active
22,33,Female,60,152,Asian,9,3,Needs Verification,56,Snapchat,Pending Review
23,54,Male,61,174,Hispanic,1.7,8,Some skepticism,93,Unknown,Inactive
24,56,Male,104,180,White,9.3,5,Some skepticism,88,Twitter,Error
25,62,Female,75,197,Other,14.1,7,Occasional check,105,Facebook,Error
26,28,Non-Binary,72,169,Hispanic,11.4,4,Some skepticism,21,TikTok,Suspended
27,49,Male,52,168,Hispanic,5.2,9,Occasional check,96,TikTok,Needs Verification
28,45,Non-Binary,79,175,Hispanic,3.4,1,Unknown,101,Facebook,Pending Review
29,43,Female,114,152,Hispanic,12.6,3,Some skepticism,14,Snapchat,Active
30,33,Male,64,186,White,9.8,2,Believes everything,54,Instagram,Active
31,28,Female,103,192,Black,4.6,8,Occasional check,-3,Instagram,Pending Review
32,61,Female,96,165,Black,3.3,5,Needs Verification,98,WhatsApp,Warning Issued
33,30,Female,104,184,Mixed,10.7,2,Needs Verification,69,Twitter,Needs Verification
34,65,Male,92,155,Other,10.6,10,More fake news than reality,118,Unknown,Warning Issued
35,34,Female,119,160,Hispanic,7.7,7,Does not engage,-3,WeChat,Pending Review
36,62,Male,90,165,Black,8.7,4,Believes everything,11,Snapchat,Warning Issued
37,60,Female,78,187,Other,14.5,7,Needs Verification,82,Instagram,Pending Review
38,47,Male,67,150,Other,0.9,5,Needs Verification,16,Facebook,Inactive
39,68,Non-Binary,71,171,Black,3.2,1,Does not engage,47,Unknown,Inactive
40,28,Male,76,189,Black,14.2,10,Indifferent,110,Instagram,Error
41,51,Female,82,198,Mixed,12.1,8,Indifferent,-10,Facebook,Warning Issued
42,41,Female,84,156,Mixed,13.8,0,Does not engage,101,Facebook,Needs Verification
43,64,Male,114,150,Asian,8.3,5,Needs Verification,25,WhatsApp,Pending Review
44,55,Non-Binary,93,182,Black,5.8,5,Values nothing,50,Snapchat,Needs Verification
45,65,Male,62,171,Hispanic,1.5,11,Occasional check,77,Facebook,Warning Issued
46,30,Non-Binary,120,191,Mixed,6.9,1,Some skepticism,-1,Twitter,Warning Issued
47,29,Male,58,191,Black,13.9,5,Occasional check,3,Snapchat,Active
48,46,Female,56,155,Hispanic,3.3,4,Fully converted,117,Facebook,Inactive
49,56,Female,73,154,Mixed,11.4,7,Unknown,21,Snapchat,Needs Verification
50,66,Female,62,186,Other,3,4,Fully converted,11,Unknown,Suspended
51,60,Male,80,176,Asian,6.9,0,Values nothing,67,WeChat,Suspended
52,39,Male,80,171,White,7.7,8,Indifferent,34,Snapchat,Inactive
53,61,Male,58,197,Hispanic,13.9,5,Very Confused,91,TikTok,Active
54,21,Non-Binary,91,152,Hispanic,3.8,2,Some skepticism,45,TikTok,Inactive
55,67,Male,114,189,Hispanic,4.6,5,Some skepticism,15,Snapchat,Warning Issued
56,47,Male,116,194,Hispanic,2,8,Occasional check,66,Facebook,Active
57,45,Female,101,181,Hispanic,13.2,4,Participates in spreading,37,Facebook,Active
58,35,Male,91,198,Hispanic,7.9,2,Believes everything,5,Snapchat,Suspended
59,57,Non-Binary,54,200,Other,2.5,8,Believes everything,95,Facebook,Inactive
60,24,Female,95,170,Mixed,0.1,10,Unknown,56,WhatsApp,Suspended
61,66,Non-Binary,60,154,Mixed,9.8,0,Very Confused,66,WeChat,Needs Verification
62,37,Non-Binary,61,182,Hispanic,2.4,7,Needs Verification,0,Twitter,Needs Verification
63,32,Male,58,151,Other,10.5,1,Values nothing,91,Unknown,Pending Review
64,63,Male,120,170,Other,2.3,8,Values nothing,68,Twitter,Inactive
65,40,Male,90,153,Hispanic,14.6,5,Believes everything,79,TikTok,Warning Issued
66,33,Non-Binary,54,172,Mixed,12.8,4,Indifferent,-10,TikTok,Suspended
67,38,Non-Binary,105,163,Hispanic,12,2,Participates in spreading,14,Facebook,Inactive
68,61,Male,90,192,Other,4.4,1,More fake news than reality,105,Twitter,Error
69,25,Female,109,161,Mixed,9.7,8,Completely unaware,8,Twitter,Warning Issued
70,55,Female,61,194,Black,2.3,5,Some skepticism,8,WeChat,Active
71,48,Female,119,183,Hispanic,12.4,9,Some skepticism,111,Instagram,Pending Review
72,50,Male,84,159,Hispanic,7.9,8,Occasional check,38,Snapchat,Suspended
73,67,Non-Binary,111,186,Other,8.1,8,Does not engage,92,TikTok,Suspended
74,24,Male,113,186,Black,11.1,3,Believes everything,12,WhatsApp,Suspended
75,52,Female,66,180,Black,8.2,6,Participates in spreading,50,TikTok,Inactive
76,34,Female,56,188,Mixed,9.1,8,Believes everything,22,TikTok,Warning Issued
77,38,Female,62,167,Black,13.4,5,Indifferent,76,Snapchat,Error
78,56,Female,111,179,Asian,3,1,Believes everything,76,Unknown,Needs Verification
79,54,Female,66,156,White,12.1,3,Occasional check,19,TikTok,Inactive
80,18,Male,98,159,Hispanic,5.5,10,Completely unaware,58,WhatsApp,Active
81,67,Female,55,185,Black,5.9,0,Does not engage,61,Twitter,Suspended
82,30,Non-Binary,77,190,Other,9,0,Unknown,78,Twitter,Error
83,21,Non-Binary,90,167,Black,10.4,9,Completely unaware,90,WeChat,Needs Verification
84,18,Male,108,200,Black,14.7,1,Occasional check,9,WhatsApp,Warning Issued
85,67,Non-Binary,59,153,Black,5.6,6,Some skepticism,12,Facebook,Needs Verification
86,33,Non-Binary,90,162,Asian,5.8,3,Does not engage,16,WeChat,Active
87,29,Non-Binary,106,195,Asian,7,5,Does not engage,106,Unknown,Active
88,23,Non-Binary,59,183,Mixed,7.1,3,Does not engage,43,Instagram,Suspended
89,40,Non-Binary,82,153,Hispanic,5.1,7,Fully converted,44,Snapchat,Active
90,46,Non-Binary,72,196,White,11.2,11,Does not engage,83,Facebook,Inactive
91,36,Female,106,189,Asian,12.6,3,Believes everything,-8,Unknown,Pending Review
92,37,Male,89,179,Black,5.6,11,Indifferent,86,WeChat,Pending Review
93,38,Female,117,179,Other,12.6,7,Unknown,38,TikTok,Warning Issued
94,23,Female,105,173,Other,12,6,Completely unaware,80,TikTok,Inactive
95,29,Non-Binary,97,184,Asian,5.9,2,Some skepticism,107,WhatsApp,Inactive
96,55,Non-Binary,62,178,Mixed,7.2,4,More fake news than reality,101,Facebook,Inactive
97,46,Female,95,167,Other,2.2,2,Very Confused,117,Twitter,Suspended
98,67,Non-Binary,61,192,White,3.1,8,Needs Verification,49,Snapchat,Error
99,35,Non-Binary,76,168,Hispanic,14.5,11,Fully converted,30,Unknown,Suspended
100,19,Female,107,179,Hispanic,8.6,0,Unknown,65,Snapchat,Warning Issued
101,21,Female,72,174,White,9.3,6,Fully converted,35,Instagram,Pending Review
102,55,Female,64,187,White,10.4,0,Indifferent,27,WeChat,Error
103,48,Non-Binary,95,174,Hispanic,11.3,11,Completely unaware,46,WeChat,Suspended
104,43,Male,93,181,White,12.2,11,Very Confused,65,WeChat,Inactive
105,51,Male,83,164,Mixed,5.7,3,Unknown,48,WhatsApp,Active
106,47,Female,109,178,Black,6.9,2,Believes everything,-8,TikTok,Inactive
107,45,Non-Binary,103,176,Asian,2.8,5,Indifferent,31,Twitter,Active
108,39,Non-Binary,78,165,Other,12.1,7,Some skepticism,-8,Twitter,Needs Verification
109,44,Non-Binary,103,151,Hispanic,13,10,Does not engage,72,Facebook,Needs Verification
110,18,Female,81,163,White,8.1,6,Unknown,31,Instagram,Error
111,25,Male,113,160,White,7.8,7,Participates in spreading,49,WeChat,Suspended
112,32,Male,112,188,Mixed,4.5,5,Needs Verification,-5,WeChat,Error
113,40,Male,76,150,Asian,3.1,3,Very Confused,76,Snapchat,Pending Review
114,22,Male,99,184,White,10,4,More fake news than reality,1,Snapchat,Warning Issued
115,20,Female,79,160,Black,0.6,2,Completely unaware,54,WhatsApp,Needs Verification
116,55,Female,66,159,White,4.9,3,Needs Verification,57,Unknown,Error
117,58,Non-Binary,85,186,Mixed,6.9,10,Participates in spreading,89,Twitter,Error
118,62,Female,70,152,Mixed,14.4,6,More fake news than reality,76,TikTok,Warning Issued
119,34,Female,112,181,White,7.3,5,Does not engage,37,TikTok,Pending Review
120,62,Non-Binary,109,184,Black,7.5,5,Needs Verification,72,WhatsApp,Pending Review
121,62,Male,73,178,White,1.7,10,Unknown,43,TikTok,Error
122,63,Non-Binary,72,159,Mixed,4.7,1,Needs Verification,62,Facebook,Pending Review
123,41,Female,94,193,Mixed,11.9,11,Needs Verification,34,Unknown,Warning Issued
124,51,Non-Binary,115,179,Black,13,11,Believes everything,7,WhatsApp,Pending Review
125,35,Male,90,164,White,3,7,Fully converted,104,Twitter,Pending Review
126,47,Non-Binary,89,191,Asian,10,2,More fake news than reality,66,Twitter,Pending Review
127,33,Female,113,164,Black,12.1,3,Indifferent,11,Snapchat,Error
128,41,Non-Binary,95,163,White,6.3,4,Participates in spreading,106,Twitter,Suspended
129,56,Female,86,168,Asian,4.1,0,Indifferent,40,Snapchat,Pending Review
130,18,Male,50,185,Hispanic,14.4,11,Unknown,117,Unknown,Active
131,27,Male,93,162,Mixed,7.9,5,Believes everything,45,Facebook,Error
132,47,Male,101,168,White,14,11,Some skepticism,120,Unknown,Inactive
133,41,Non-Binary,103,193,Hispanic,12.1,5,Unknown,99,Twitter,Pending Review
134,18,Male,102,191,Black,9.8,4,Believes everything,103,Unknown,Warning Issued
135,63,Non-Binary,98,176,Black,14.1,7,Indifferent,-1,WhatsApp,Needs Verification
136,67,Female,88,175,Asian,0.8,1,Indifferent,94,Facebook,Pending Review
137,28,Female,102,184,White,10.7,8,Unknown,112,Facebook,Active
138,49,Non-Binary,74,172,Other,13,11,Very Confused,65,Facebook,Inactive
139,67,Male,92,154,Hispanic,6.7,9,Participates in spreading,87,Unknown,Pending Review
140,41,Non-Binary,84,178,Mixed,6,11,Completely unaware,31,Twitter,Inactive
141,22,Non-Binary,67,165,White,13.3,5,Believes everything,3,Unknown,Error
